week,QQQ_1M_shock_score,QQQ_1W_shock_score,SP_1M_shock_score,SP_1W_shock_score
2020-10-05,0.24515638694759048,0.567367654319869,0.31165198906621594,0.4933614033130827
2020-10-12,0.15909239150589546,0.8018969993989732,0.27421534826584454,0.9311859671437551
2020-10-19,0.07904411662066976,0.5976505840504542,0.2925345896866541,0.9917044991554783
2020-10-26,0.08721361594835392,0.5361543230610959,0.25040056292982354,0.8524787498663285
2020-11-02,0.8070566441142526,0.5843145218166741,0.13909015156838686,0.9172129497815135
2020-11-09,1.5814332375112392,0.5183641323469561,0.2895702598046709,1.0645794517526774
2020-11-16,1.0223070168311166,0.1504539649844185,0.6881479435567837,0.7454186702273317
2020-11-23,1.0789249706485606,0.06453340309732843,1.5227058348586946,0.6986420244723702
2020-11-30,1.3054353809195327,0.005848022710405308,2.41460645254811,0.7567759474440718
2020-12-07,1.2605012877479274,0.5038102281670378,2.3085803946096446,0.417682999388328
2020-12-14,0.9691861345558107,0.5021099230507902,2.6359696568802002,0.5119340542285435
2020-12-21,0.9418649435351981,0.7370245658386483,2.453825033479017,0.4184566035025024
2020-12-28,2.2043287030640544,0.7402077774441163,0.8505075142340266,0.5951778574528922
2021-01-04,1.9458684760396376,1.181185873809285,1.03031375173976,0.5789287479214928
2021-01-11,2.0102307472975114,0.9113784347214516,0.7475556627127652,1.0146376210248296
2021-01-18,2.1159073512119995,1.1136833332732137,0.5140666745235603,0.9993194490558934
2021-01-25,2.0844873852837367,1.7346994202241586,0.304933642134724,0.2930598012958399
2021-02-01,2.0788563711534658,1.5135288233587958,0.168693946143287,0.23525050502082395
2021-02-08,1.9477313246607155,1.6741436126248703,0.3172494873057172,0.7770249286681664
2021-02-15,1.8761633878387385,1.7182771275074715,0.440859343986891,1.05707291715945
2021-02-22,1.8751363004570474,2.194374136525049,0.47280571799241783,2.3019862769568027
2021-03-01,1.828389228782433,2.053757582227303,0.7736575740500617,1.6883251094076626
2021-03-08,1.774033025681486,1.8851771600491998,0.9575823357287292,1.5226879172182937
2021-03-15,1.7301605999266028,1.3643922513790672,1.1573095428356717,0.7372631174518458
2021-03-22,1.4940619873981578,1.6826315901416442,1.682753778679479,1.5868092853216818
2021-03-29,1.1630636387572637,1.5339251588482938,2.0457485398198147,1.615238903502461
