week,qqq_1w_error,qqq_1w_sigma,qqq_1w_shock_score,qqq_1w_p95,qqq_1w_p99,qqq_1w_shock_p95_flag,qqq_1w_shock_p99_flag,qqq_1m_error,qqq_1m_sigma,qqq_1m_shock_score,qqq_1m_p95,qqq_1m_p99,qqq_1m_shock_p95_flag,qqq_1m_shock_p99_flag,sp_1w_error,sp_1w_sigma,sp_1w_shock_score,sp_1w_p95,sp_1w_p99,sp_1w_shock_p95_flag,sp_1w_shock_p99_flag,sp_1m_error,sp_1m_sigma,sp_1m_shock_score,sp_1m_p95,sp_1m_p99,sp_1m_shock_p95_flag,sp_1m_shock_p99_flag
2021-04-19,23.272449200134066,0.4777068061627825,2.053626322063703,2.2188770069097936,2.7538571469992674,False,False,-9.332931835605338,0.21112989439709146,0.5674703598443681,2.5537057765700504,3.3077379023725735,False,False,21.845881693810913,0.4679614064142321,1.96804673854456,2.17818086036575,2.645323210169071,False,False,-9.497483843725405,0.10695543550391019,0.2159983228933912,2.3916897131759103,2.5759389231118526,False,False
2021-04-26,23.433928259607054,0.5039150982904522,2.124614107896107,2.2188770069097936,2.7538571469992674,False,False,-9.352250823906246,0.19718068880930054,0.6026476148106289,2.5537057765700504,3.3077379023725735,False,False,22.007982001173904,0.48731936659723646,2.0769243953302903,2.17818086036575,2.645323210169071,False,False,-9.524915173857332,0.10026370793540221,0.02852760641180848,2.3916897131759103,2.5759389231118526,False,False
2021-05-03,23.551266507485312,0.5352420621807763,2.085220744218621,2.2188770069097936,2.7538571469992674,False,False,-9.39751589535699,0.18466214109051055,0.7777693154611494,2.5537057765700504,3.3077379023725735,False,False,22.153673361621305,0.513701653305059,2.1120465851784416,2.17818086036575,2.645323210169071,False,False,-9.556674174899854,0.09505086440064094,0.22843021917680792,2.3916897131759103,2.5759389231118526,False,False
2021-05-10,23.664011357339746,0.5687008688801986,2.032412187938454,2.2188770069097936,2.7538571469992674,False,False,-9.418487840248831,0.17736249263371393,0.8290524210587972,2.5537057765700504,3.3077379023725735,False,False,22.276591983425313,0.5456872203754969,2.0798644603819154,2.17818086036575,2.645323210169071,False,False,-9.558190716362981,0.09211412916975514,0.1939062802880179,2.3916897131759103,2.5759389231118526,False,False
2021-05-17,23.798768525323375,0.5964183820461025,2.0272786721378875,2.2188770069097936,2.7538571469992674,False,False,-9.467372110341735,0.16878315493516063,1.0432567518372775,2.5537057765700504,3.3077379023725735,False,False,22.410290740019768,0.573128340198054,2.07332941659708,2.17818086036575,2.645323210169071,False,False,-9.590867464118013,0.08815392001399837,0.4910508084449152,2.3916897131759103,2.5759389231118526,False,False
2021-05-24,23.925373644086807,0.6258649303455731,2.0005911246091386,2.2188770069097936,2.7538571469992674,False,False,-9.47955891705081,0.15979581911295432,1.0569540156300679,2.5537057765700504,3.3077379023725735,False,False,22.50689717855284,0.5997459277082255,2.0064291443819338,2.17818086036575,2.645323210169071,False,False,-9.595390543470018,0.0835672476119505,0.48411293773486075,2.3916897131759103,2.5759389231118526,False,False
2021-05-31,24.021549792376895,0.6541862058856429,1.931654534122624,2.2188770069097936,2.7538571469992674,False,False,-9.496289419586692,0.15126244627945087,1.1030129773883977,2.5537057765700504,3.3077379023725735,False,False,22.59181069325826,0.6257356655124444,1.9285296432085732,2.17818086036575,2.645323210169071,False,False,-9.609975166808852,0.07861707547443333,0.6013907690361338,2.3916897131759103,2.5759389231118526,False,False
2021-06-07,24.1311172303768,0.6775100906972491,1.8950120726872306,2.2188770069097936,2.7538571469992674,False,False,-9.52255230515974,0.14244945506477344,1.2213660968050024,2.5537057765700504,3.3077379023725735,False,False,22.672762426443594,0.6460962258970067,1.8623138433614759,2.17818086036575,2.645323210169071,False,False,-9.639428670914368,0.0741060884000257,0.9200388805716256,2.3916897131759103,2.5759389231118526,False,False
2021-06-14,24.21008027469313,0.6998602669468241,1.8207606559832183,2.2188770069097936,2.7538571469992674,False,False,-9.561243702622786,0.13092924555480367,1.4633778048107557,2.5537057765700504,3.3077379023725735,False,False,22.720039967922492,0.6636710787519576,1.7595931128487394,2.17818086036575,2.645323210169071,False,False,-9.675298645642103,0.06714907295128177,1.3870097240762862,2.3916897131759103,2.5759389231118526,False,False
2021-06-21,24.301445909828985,0.7205785162379098,1.7710804912480858,2.2188770069097936,2.7538571469992674,False,False,-9.603249847998063,0.11834823532330944,1.7853660968161418,2.5537057765700504,3.3077379023725735,False,False,22.815631203747582,0.6805298533775145,1.7330746818573475,2.17818086036575,2.645323210169071,False,False,-9.709516302075336,0.059903482625591496,1.9234087916090419,2.3916897131759103,2.5759389231118526,False,False
2021-06-28,24.37899426855258,0.7405106389534629,1.7085278797888483,2.2139535739221703,2.7538571469992674,False,False,-9.644878639109054,0.11777973811330354,1.986223176161856,2.5537057765700504,3.3077379023725735,False,False,22.87977824576733,0.6965871545867134,1.6666644667128727,2.17354194692384,2.645323210169071,False,False,-9.740077626088967,0.06288416393934591,2.1685299288911786,2.3916897131759103,2.5759389231118526,False,False
2021-07-05,24.461546034098923,0.7579945216949221,1.6600909883211246,2.2103204067032687,2.7538571469992674,False,False,-9.666787087399197,0.11564211919673278,2.0407656097048554,2.5537057765700504,3.3077379023725735,False,False,22.945935333052923,0.7099591099885446,1.611816498707195,2.168906719714163,2.645323210169071,False,False,-9.750842204861708,0.06474169850173175,2.1172055483828833,2.3916897131759103,2.5759389231118526,False,False
2021-07-12,24.532257984338614,0.7741856583370181,1.6024458404749926,2.191050034116335,2.7538571469992674,False,False,-9.693490662371133,0.11548281336358635,2.105728690770761,2.5537057765700504,3.3077379023725735,False,False,22.993152393449265,0.7212189887920538,1.5395417283023174,2.162242974375985,2.645323210169071,False,False,-9.764742466075761,0.06787490333474806,2.0820970947935926,2.3916897131759103,2.5759389231118526,False,False
2021-07-19,24.652506208054128,0.7907821195065875,1.6063160908120615,2.1898322028888697,2.7538571469992674,False,False,-9.716565632095751,0.11800317631094591,2.09871630487274,2.5537057765700504,3.3077379023725735,False,False,23.08386163193438,0.7315967875102959,1.528985175055459,2.162242974375985,2.645323210169071,False,False,-9.783945791526087,0.07305492650883785,2.0740878612698115,2.3916897131759103,2.5759389231118526,False,False
2021-07-26,24.801798916236017,0.8062288692468434,1.64164168537764,2.1795174940093363,2.7538571469992674,False,False,-9.75870745833601,0.12437129458409468,2.181392896456725,2.5537057765700504,3.3077379023725735,False,False,23.205029562417014,0.7402059174829918,1.557867846802652,2.162242974375985,2.645323210169071,False,False,-9.817731519992542,0.0809420832275659,2.1803590977690073,2.3916897131759103,2.5759389231118526,False,False
2021-08-02,24.929354790543748,0.8233740219225176,1.6442550476052578,2.16424025192776,2.7538571469992674,False,False,-9.79678375688237,0.13397278783052238,2.17481530563912,2.5537057765700504,3.3077379023725735,False,False,23.309996425083497,0.7501138741649201,1.5610293214454523,2.162242974375985,2.645323210169071,False,False,-9.8560238429676,0.09111761670228637,2.2592591166193086,2.3916897131759103,2.5759389231118526,False,False
2021-08-09,25.027425844401396,0.8363527674660192,1.616591493118532,2.16424025192776,2.7538571469992674,False,False,-9.804593337106091,0.14201665258655524,1.9820426520598378,2.5537057765700504,3.3077379023725735,False,False,23.3895615737317,0.7558249832629408,1.5364906432686962,2.162242974375985,2.645323210169071,False,False,-9.871366963617785,0.10077987490919157,2.103254388019715,2.3916897131759103,2.5759389231118526,False,False
