window,variable,coef,p_value,t_value
1y,RiskScore,0.5752419127128242,0.0189497291471537,2.3685231594421934
1y,RET_QQQ_20D,-3.357052263317245,0.5202975256797904,-0.6441871245546268
1y,RET_SP500_20D,1.4451552284752318,0.8492619360723275,0.19034178006642116
1y,wd_0_x_MRDI_Short,-0.01523277624464381,0.0446789527637526,-2.022195192969825
1y,wd_0_x_MRDI_Long,-0.005566583943369322,0.4354642277227525,-0.7816709692818185
1y,wd_0_x_RET_QQQ,-0.6201088214820047,0.5620035017362042,-0.5809768870556753
1y,wd_0_x_RET_SP500,0.27066106451300875,0.8620034260345277,0.17408048188173134
1y,wd_1_x_MRDI_Short,-0.020673605517737757,0.004113278381571144,-2.9076548840580982
1y,wd_1_x_MRDI_Long,-0.0015619010414016678,0.8443993163281838,-0.19656081926108757
1y,wd_1_x_RET_QQQ,-0.7172322161182456,0.4894845617505129,-0.6925905674952769
1y,wd_1_x_RET_SP500,0.2982126318138562,0.8429656438807246,0.19839586137907245
1y,wd_2_x_MRDI_Short,-0.008393785306337779,0.28749663286130256,-1.066877792992499
1y,wd_2_x_MRDI_Long,-0.011578998431133532,0.13693037020664678,-1.4941766262871867
1y,wd_2_x_RET_QQQ,-0.6621092581427509,0.5346027379649894,-0.6222266052797257
1y,wd_2_x_RET_SP500,0.23843156170882968,0.8769698658800414,0.1550382118238976
1y,wd_3_x_MRDI_Short,-0.006400842734908532,0.34779825192975,-0.941398743173917
1y,wd_3_x_MRDI_Long,-0.015234342094876724,0.0508564519657423,-1.966206430799819
1y,wd_3_x_RET_QQQ,-0.6401396337520917,0.5619522331890249,-0.5810531271560091
1y,wd_3_x_RET_SP500,0.18115628105777454,0.9096920292735243,0.11359125335851504
1y,wd_4_x_MRDI_Short,-0.008836297823827655,0.16994740191646132,-1.378049665758677
1y,wd_4_x_MRDI_Long,-0.013050061445169714,0.0644998938837257,-1.8604492577591711
1y,wd_4_x_RET_QQQ,-0.7174623338577736,0.5108488513515014,-0.658864346074158
1y,wd_4_x_RET_SP500,0.4566936893416614,0.7713798056373887,0.29102110464929837
1y,m_1_x_RET_QQQ,-1.8589268890604367,0.021777350516049294,-2.3149346684685788
1y,m_1_x_RET_SP500,0.18856397056441812,0.8362624035278972,0.2069847604132282
1y,m_2_x_RET_QQQ,-0.5978213340927145,0.4923420757952438,-0.6880344359249979
1y,m_2_x_RET_SP500,0.18150273840569703,0.8746266943506176,0.1580155959947286
1y,m_3_x_RET_QQQ,1.4392810432080738,0.3276118436538241,0.981681819242495
1y,m_3_x_RET_SP500,-1.4238521109439644,0.4558023512043252,-0.7474380044675422
1y,m_4_x_RET_QQQ,0.06934110908910794,0.9307055882598863,0.08708238551205923
1y,m_4_x_RET_SP500,-0.9196961241801643,0.3385840505610066,-0.9595929054224048
1y,m_5_x_RET_QQQ,-0.30847717733360747,0.6175773480010462,-0.5001791195534583
1y,m_5_x_RET_SP500,0.17674408223256483,0.8373674955410766,0.20556775962609103
1y,m_6_x_RET_QQQ,-0.6950052078756457,0.43330858512467063,-0.7853530142863915
1y,m_6_x_RET_SP500,0.8188261708396128,0.5166122021055081,0.6498950455780457
1y,m_7_x_RET_QQQ,1.423243058752129,0.2206655122878558,1.2291505755734924
1y,m_7_x_RET_SP500,-2.257650273494066,0.09067769012487666,-1.701220362197624
1y,m_8_x_RET_QQQ,-1.8555744982195435,0.0399031637414473,-2.070190586516129
1y,m_8_x_RET_SP500,2.264308620969483,0.05830001452399353,1.905918147421611
1y,m_9_x_RET_QQQ,-0.5141851383493956,0.4623111346934984,-0.7366672533899845
1y,m_9_x_RET_SP500,0.533054245829321,0.5982222359344724,0.5279219878733198
1y,m_10_x_RET_QQQ,-0.6972872229384395,0.43498880202624524,-0.7824821279703501
1y,m_10_x_RET_SP500,1.199717957284303,0.3567731965064137,0.923971913487908
1y,m_11_x_RET_QQQ,-0.13951132903550836,0.860155390305795,-0.17643606329705117
1y,m_11_x_RET_SP500,1.0364706409531184,0.30972300280900866,1.01876054624085
1y,m_12_x_RET_QQQ,0.37787132260130013,0.4866911870440891,0.697058413587245
1y,m_12_x_RET_SP500,-0.3528346900282676,0.6502566315572444,-0.4541875809118788
3y,const,0.5932191298013142,1.652239437583158e-30,12.08709768237469
3y,VIX,0.002166790593490325,0.0016347090051972394,3.1627993227989126
3y,US10Y,0.039014680837922436,1.2956339502637303e-05,4.394331859699386
3y,USDJPY,-0.005198814873310733,1.0286058678586792e-28,-11.667379240541969
3y,RET_QQQ,0.8426275390977758,0.3566687176281731,0.9223815169146318
3y,RET_SP500,1.0771132334051805,0.33067034430286635,0.9734865825476464
3y,RET_NASDAQ,-1.6333751517029145,0.11847601309939036,-1.563250192285918
3y,RET_DOW,-0.3892367469359088,0.4567163473389869,-0.7447057027867394
3y,RET_VIX,-0.012893909087901372,0.6636607773890393,-0.4350616398379775
3y,RET_US10Y,-0.24402847767575575,0.2245923630936088,-1.215553400105674
3y,RET_USDJPY,0.04777990831644374,0.8149573692086545,0.23412966151527184
3y,RET_GOLD,0.01103357670854415,0.9379032649741386,0.07793532452242113
3y,RET_TLT,-0.00717095273453199,0.981787905101021,-0.022836164070735358
3y,RET_QQQ_MA20,-58.46683571100467,0.21267491952759499,-1.2474575424161651
3y,RET_SP500_MA20,112.06787134363266,0.1572919969066,1.4158569367545089
3y,RET_NASDAQ_MA20,63.217884652190016,1.7384786109493597e-22,10.1249238816078
3y,RET_DOW_MA20,6.7743007173373755,0.02398319328945301,2.262654297541473
3y,RET_VIX_MA20,0.2636277339655224,0.2760871389382787,1.0900595907515984
3y,RET_US10Y_MA20,-1.9292180589914842,0.2932757670256715,-1.051806183782501
3y,RET_USDJPY_MA20,11.53727572736498,3.303303793447789e-10,6.38208085491643
3y,RET_GOLD_MA20,-1.1296883684127654,0.24527895701879582,-1.1629344494215643
3y,RET_TLT_MA20,1.8173343978930012,0.49814348109974516,0.6777905578377748
3y,MRDI_Short,-0.028910295926909597,0.00011895882987266501,-3.8715719925757344
3y,MRDI_Long,-0.024123151580770552,0.0004131903879431848,-3.5497272893375054
3y,MA20_MRDI,-0.0033874337033107755,0.14010794855264894,-1.4771775523820407
3y,RiskScore,0.2932424485782137,4.62897901646167e-05,4.1010880441739195
3y,RET_QQQ_20D,0.09343873807575695,0.9587526376260211,0.05173871636820177
3y,RET_SP500_20D,-5.030243231962115,0.09243745821430027,-1.6851384685191744
3y,wd_0_x_MRDI_Short,-0.0013038259694664385,0.778367396732578,-0.2815630148873508
3y,wd_0_x_MRDI_Long,-0.010085120495767342,0.0439990147215184,-2.017988818321725
3y,wd_0_x_RET_QQQ,0.06136732247258964,0.8740094674162182,0.15862967622893903
3y,wd_0_x_RET_SP500,-0.9775967121717294,0.12092302003794446,-1.5529263322589044
3y,wd_1_x_MRDI_Short,-0.008785178209166907,0.0898717085581352,-1.698584314399946
3y,wd_1_x_MRDI_Long,-0.0020748875358137754,0.7023932639431426,-0.3822587367824728
3y,wd_1_x_RET_QQQ,0.13980629720755752,0.714552573470991,0.36590681747445486
3y,wd_1_x_RET_SP500,-1.1388995255374423,0.0690472922750029,-1.8210982642601496
3y,wd_2_x_MRDI_Short,-0.0006386197722401412,0.888551187953743,-0.1401921740795098
3y,wd_2_x_MRDI_Long,-0.009481150166303057,0.04262852181353833,-2.031287132407753
3y,wd_2_x_RET_QQQ,-0.05404222219561549,0.8892610203000676,-0.13929344641368427
3y,wd_2_x_RET_SP500,-0.9817813348991913,0.11406504437161755,-1.5822913788794966
3y,wd_3_x_MRDI_Short,-0.007117225136986722,0.1665245666962791,-1.3849957793840362
3y,wd_3_x_MRDI_Long,-0.0037119842150238787,0.49894357528995636,-0.6765285695443397
3y,wd_3_x_RET_QQQ,0.032659060812203655,0.9323419484070989,0.08493126521705913
3y,wd_3_x_RET_SP500,-1.0627596401622228,0.08760332534350057,-1.710732252462551
3y,wd_4_x_MRDI_Short,-0.011065438745195725,0.015975748960594078,-2.41573368697475
